Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,718,504,-1.000,-1.000,21
1,2,722,504,0.516,0.258,0
1,3,722,504,0.000,0.000,0
1,4,722,504,0.000,0.000,2
1,5,716,502,0.816,0.408,1
1,6,716,502,0.000,0.000,2
1,7,711,515,1.797,0.898,16
1,8,711,515,0.000,0.000,10
1,9,711,515,0.000,0.000,6
1,10,711,515,0.000,0.000,19
1,11,714,528,1.721,0.861,1
1,12,714,528,0.000,0.000,38
1,13,714,528,0.000,0.000,18
1,14,716,534,0.816,0.408,1
1,15,716,534,0.000,0.000,17
1,16,718,536,0.365,0.182,4
1,17,722,540,0.730,0.365,1
1,18,724,542,0.365,0.182,0
1,19,724,542,0.000,0.000,17
1,20,724,545,0.387,0.194,25
1,21,731,564,2.612,1.306,30
1,22,731,566,0.258,0.129,19
1,23,731,566,0.000,0.000,0
1,24,731,566,0.000,0.000,9
1,25,731,566,0.000,0.000,22
1,26,731,568,0.258,0.129,10
1,27,733,568,0.258,0.129,15
1,28,733,568,0.000,0.000,55
1,29,731,572,0.577,0.288,23
1,30,731,575,0.387,0.194,31
1,31,731,575,0.000,0.000,56
1,32,726,577,0.695,0.347,2
1,33,726,577,0.000,0.000,4
1,34,726,579,0.258,0.129,28
1,35,726,581,0.258,0.129,0
1,36,726,581,0.000,0.000,22
1,37,726,583,0.258,0.129,56
1,38,726,585,0.258,0.129,33
1,39,733,596,1.682,0.841,3
1,40,733,598,0.258,0.129,1
1,41,733,598,0.000,0.000,2
1,42,733,598,0.000,0.000,2
1,43,728,592,1.008,0.504,2
1,44,726,590,0.365,0.182,1
1,45,726,585,0.645,0.323,42
1,46,726,585,0.000,0.000,0
1,47,720,594,1.395,0.698,0
1,48,720,594,0.000,0.000,8
1,49,718,594,0.258,0.129,0
1,50,714,594,0.516,0.258,1
1,51,714,594,0.000,0.000,39
1,52,703,590,1.510,0.755,14
1,53,681,590,2.838,1.419,14
1,54,677,590,0.516,0.258,1
1,55,677,590,0.000,0.000,2
1,56,677,590,0.000,0.000,1
1,57,677,590,0.000,0.000,33
1,58,677,590,0.000,0.000,13
1,59,673,590,0.516,0.258,70
1,60,669,587,0.645,0.323,6
1,61,662,587,0.903,0.452,27
1,62,662,585,0.258,0.129,2
1,63,660,583,0.365,0.182,2
1,64,660,583,0.000,0.000,9
1,65,669,596,2.040,1.020,24
1,66,662,590,1.189,0.595,76
1,67,660,587,0.465,0.233,33
1,68,660,587,0.000,0.000,69
1,69,660,587,0.000,0.000,32
1,70,660,587,0.000,0.000,94
1,71,656,587,0.516,0.258,39
1,72,652,585,0.577,0.288,89
1,73,652,585,0.000,0.000,12
1,74,647,583,0.695,0.347,52
1,75,643,581,0.577,0.288,115
1,76,641,581,0.258,0.129,0
1,77,639,581,0.258,0.129,4
1,78,634,581,0.645,0.323,15
1,79,626,579,1.064,0.532,28
1,80,626,577,0.258,0.129,0
1,81,622,568,1.271,0.635,10
1,82,624,564,0.577,0.288,4
1,83,624,564,0.000,0.000,0
1,84,624,560,0.516,0.258,13
1,85,622,557,0.465,0.233,0
1,86,619,553,0.645,0.323,0
1,87,615,542,1.510,0.755,22
1,88,613,540,0.365,0.182,1
1,89,613,540,0.000,0.000,22
1,90,613,540,0.000,0.000,65
1,91,613,534,0.774,0.387,24
1,92,613,525,1.161,0.581,88
1,93,607,523,0.816,0.408,37
1,94,602,517,1.008,0.504,38
1,95,600,515,0.365,0.182,33
1,96,598,508,0.939,0.470,8
1,97,598,508,0.000,0.000,32
1,98,598,508,0.000,0.000,16
1,99,598,504,0.516,0.258,9
1,100,596,498,0.816,0.408,41
1,101,581,498,1.935,0.968,23
1,102,581,498,0.000,0.000,8
1,103,579,487,1.442,0.721,5
1,104,577,487,0.258,0.129,9
1,105,564,483,1.755,0.877,25
1,106,564,481,0.258,0.129,12
1,107,562,476,0.695,0.347,0
1,108,551,474,1.442,0.721,1
1,109,551,474,0.000,0.000,8
1,110,547,463,1.510,0.755,19
2,1,767,489,-1.000,-1.000,1
2,2,767,489,0.000,0.000,6
2,3,767,489,0.000,0.000,15
2,4,767,489,0.000,0.000,3
2,5,765,489,0.258,0.129,26
2,6,761,498,1.271,0.635,1
2,7,761,500,0.258,0.129,67
2,8,756,504,0.826,0.413,17
2,9,756,506,0.258,0.129,51
2,10,758,506,0.258,0.129,8
2,11,758,506,0.000,0.000,75
2,12,763,506,0.645,0.323,1
2,13,763,508,0.258,0.129,18
2,14,763,508,0.000,0.000,6
2,15,763,510,0.258,0.129,39
2,16,765,519,1.189,0.595,39
2,17,767,525,0.816,0.408,0
2,18,767,525,0.000,0.000,8
2,19,765,528,0.465,0.233,50
2,20,765,528,0.000,0.000,17
2,21,765,528,0.000,0.000,29
2,22,765,534,0.774,0.387,18
2,23,765,536,0.258,0.129,16
2,24,765,536,0.000,0.000,69
2,25,765,536,0.000,0.000,26
2,26,765,542,0.774,0.387,74
2,27,763,545,0.465,0.233,9
2,28,763,547,0.258,0.129,47
2,29,761,549,0.365,0.182,31
2,30,761,549,0.000,0.000,63
2,31,761,553,0.516,0.258,73
2,32,761,553,0.000,0.000,67
2,33,761,553,0.000,0.000,56
2,34,758,555,0.465,0.233,6
2,35,756,560,0.695,0.347,45
2,36,756,560,0.000,0.000,9
2,37,754,566,0.816,0.408,7
2,38,754,566,0.000,0.000,6
2,39,754,566,0.000,0.000,56
2,40,754,570,0.516,0.258,83
2,41,754,572,0.258,0.129,68
2,42,754,579,0.903,0.452,49
2,43,754,579,0.000,0.000,62
2,44,750,577,0.577,0.288,77
2,45,746,577,0.516,0.258,56
2,46,746,577,0.000,0.000,45
2,47,746,577,0.000,0.000,30
2,48,746,577,0.000,0.000,36
2,49,735,583,1.616,0.808,18
2,50,731,585,0.577,0.288,1
2,51,731,585,0.000,0.000,1
2,52,724,587,0.939,0.470,30
2,53,720,577,1.389,0.695,1
2,54,718,570,0.939,0.470,29
2,55,718,568,0.258,0.129,55
2,56,711,566,0.939,0.470,34
2,57,705,566,0.774,0.387,46
2,58,703,568,0.365,0.182,1
2,59,701,568,0.258,0.129,10
2,60,692,566,1.189,0.595,35
2,61,688,564,0.577,0.288,8
2,62,679,564,1.161,0.581,94
2,63,677,564,0.258,0.129,39
2,64,677,564,0.000,0.000,64
2,65,677,564,0.000,0.000,3
2,66,677,564,0.000,0.000,69
2,67,673,564,0.516,0.258,2
2,68,669,564,0.516,0.258,0
2,69,666,560,0.645,0.323,1
2,70,666,557,0.387,0.194,39
2,71,664,557,0.258,0.129,56
2,72,664,557,0.000,0.000,41
2,73,664,557,0.000,0.000,11
2,74,662,560,0.465,0.233,21
2,75,660,560,0.258,0.129,67
2,76,654,555,1.008,0.504,61
2,77,649,551,0.826,0.413,18
2,78,649,549,0.258,0.129,12
2,79,647,547,0.365,0.182,31
2,80,647,545,0.258,0.129,34
2,81,647,540,0.645,0.323,47
2,82,647,538,0.258,0.129,29
2,83,647,536,0.258,0.129,53
2,84,647,534,0.258,0.129,101
2,85,647,530,0.516,0.258,51
2,86,647,528,0.258,0.129,40
2,87,645,523,0.695,0.347,7
2,88,643,519,0.577,0.288,8
2,89,637,515,0.930,0.465,37
2,90,634,515,0.387,0.194,75
2,91,634,515,0.000,0.000,52
2,92,624,515,1.290,0.645,36
2,93,619,513,0.695,0.347,4
2,94,619,513,0.000,0.000,17
2,95,617,502,1.442,0.721,34
2,96,615,498,0.577,0.288,14
2,97,615,498,0.000,0.000,27
2,98,615,498,0.000,0.000,1
2,99,615,498,0.000,0.000,2
2,100,609,498,0.774,0.387,11
2,101,604,495,0.752,0.376,30
2,102,598,491,0.930,0.465,16
2,103,592,485,1.095,0.547,37
2,104,587,481,0.826,0.413,33
2,105,587,478,0.387,0.194,0
2,106,585,478,0.258,0.129,0
2,107,579,478,0.774,0.387,1
2,108,579,478,0.000,0.000,18
2,109,579,478,0.000,0.000,13
2,110,572,478,0.903,0.452,36
3,1,692,476,-1.000,-1.000,8
3,2,688,476,0.516,0.258,26
3,3,684,476,0.516,0.258,66
